"VCI","Tem"
"c",0.553984449760766,4.35344860192503
"c",0.558829127613554,3.81108011443557
"c",0.563896127110228,4.23654468464404
"c",0.568896722939424,3.90136885732977
"c",0.573936718022955,4.06898394811366
"c",0.578848210526316,4.34545324707033
"c",0.583892561983471,4.17791099863606
"c",0.588776952908587,4.30802882144328
"c",0.593839806940933,4.42827085803172
"c",0.598829603700463,4.53553042015386
"c",0.603709204518145,4.17570923408963
"c",0.608801323796306,4.6054241435765
"c",0.613978812126676,4.53680365029446
"c",0.618753742153549,4.3043277145526
"c",0.623818823197404,4.7748217053452
"c",0.628998259006294,4.65648415446587
"c",0.633928314457029,4.52615116940271
"c",0.638940431307495,4.49969195609109
"c",0.643875035181537,4.53512754389311
"c",0.648750877192983,4.25168236626521
"c",0.653876454293629,4.39644181100948
"c",0.658801880632101,4.68873572716348
"c",0.663897971184946,4.74644320184294
"c",0.668835587420564,4.8211903669517
"c",0.673972804351304,4.73190986610113
"c",0.678789127423823,4.88726497449375
"c",0.683840407470289,4.7941583011313
"c",0.688764942016057,4.98184085134735
"c",0.693745567126372,5.12395711480617
"c",0.69882865497076,5.30601789686417
"c",0.703569485511532,5.07351777151732
"c",0.708791979949875,5.44968411192604
"c",0.713694818441453,5.10687497161158
"c",0.718600457665904,5.36675733483358
"c",0.723632110579479,5.91541396632341
"c",0.728975438596491,5.50678304036461
"c",0.734162679425837,5.93331409801139
"c",0.738461988304094,6.25718474211518
"c",0.74375828460039,7.01210372359667
"c",0.748696356275304,7.13953200120195
"c",0.754024291497976,7.42681509164666
"c",0.757305263157895,7.20313415527346
"c",0.764131578947368,7.61920700073244
